timestamp,frame_idx,stamp_idx,bg_x,bg_y,bg_z,bg_norm,ba_x,ba_y,ba_z,ba_norm
0.0,0,0,1.001086539504073e-06,-1.4124303072838716e-06,5.231682035931012e-06,5.5106833113138974e-06,0.0,0.0,0.0,0.0
0.08,1,44,1.001086539504073e-06,-1.4124303072838716e-06,5.231682035931012e-06,5.5106833113138974e-06,0.0,0.0,0.0,0.0
0.16,2,46,1.001086539504073e-06,-1.4124303072838716e-06,5.231682035931012e-06,5.5106833113138974e-06,0.0,0.0,0.0,0.0
0.24,3,47,1.001086539504073e-06,-1.4124303072838716e-06,5.231682035931012e-06,5.5106833113138974e-06,0.0,0.0,0.0,0.0
0.32,4,48,1.001086539504073e-06,-1.4124303072838716e-06,5.231682035931012e-06,5.5106833113138974e-06,0.0,0.0,0.0,0.0
0.4,5,49,1.001086539504073e-06,-1.4124303072838716e-06,5.231682035931012e-06,5.5106833113138974e-06,0.0,0.0,0.0,0.0
0.48,6,51,1.001086539504073e-06,-1.4124303072838716e-06,5.231682035931012e-06,5.5106833113138974e-06,0.0,0.0,0.0,0.0
0.56,7,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.24,8,53,4.2495245336854424e-06,-2.484131247158774e-06,5.208104385911417e-06,7.166150857333024e-06,8.658734867388972e-05,0.00012483415974939196,0.0008008709712433082,0.0008151535125182927
4.32,8,54,4.2183602777190335e-06,-2.4184172021722623e-06,4.623049113757629e-06,6.709388072292116e-06,3.5775832455882746e-05,5.239825093934294e-05,0.000982585779500346,0.000984632063750575
4.4,8,55,3.73301173899717e-06,-2.70785544669597e-06,2.0579099329731996e-06,5.050034757892412e-06,-2.9696119161967452e-05,6.50647164576623e-05,0.0011896470004988593,0.001191794975076221
4.48,8,56,-4.293217195141779e-07,-2.62189528554358e-06,1.9146536419036778e-06,3.27483596469461e-06,7.010649716280261e-05,0.00012338003654050706,0.0011977283885847084,0.0012061056534080656
4.56,8,57,2.660909374753976e-06,-3.0557305794800452e-06,3.023430482531831e-06,5.055596894306913e-06,0.00016553297267730575,0.0001358362519466145,0.0013076551567561877,0.001325071568398228
4.64,9,58,7.525193078916354e-07,-2.803450150149858e-06,1.5496594417872778e-06,3.290450187838349e-06,0.00017105076599428968,-2.0014747004284742e-05,0.001327661307699422,0.0013387843376014743
4.72,9,59,8.682933688504882e-07,-3.4251166091472974e-06,1.1860171637061087e-06,3.7271965165861452e-06,0.00019646699485210351,3.571236538271948e-06,0.0017826508288773437,0.0017934480788396718
4.8,9,60,-2.2964949897510623e-06,-2.9937888533833613e-06,5.65438336087797e-06,6.797699031905417e-06,0.00018111278813482274,0.00012084087139342984,0.0018349031497543588,0.00184777539955579
4.88,9,61,-3.7440401062914726e-06,-1.8597295817486717e-06,3.45261517632369e-07,4.194715240669855e-06,0.00020038841036101879,9.480585893849569e-05,0.0017779983189275175,0.001791764964498737
4.96,9,62,-2.207117764517937e-06,5.7215592802140085e-08,6.339395902590027e-07,2.297068099688842e-06,0.000303447464414945,7.271023115380695e-05,0.0019118943135128655,0.0019371904933219992
5.04,10,63,2.9071650789445452e-08,-1.0390316342120292e-07,6.058080657272423e-06,6.059041366277906e-06,0.00041703951105440904,6.401663614884828e-05,0.002149654474796123,0.002190669862050261
5.12,10,64,1.2530137568003706e-06,-8.896858789550041e-07,2.7294329184355476e-06,3.132313600867976e-06,0.00016582841091272954,0.00012021675228811753,0.002450978158399246,0.0024595213075610267
5.2,10,65,4.976902415207835e-07,1.3334665320353219e-06,4.837263741809581e-06,5.042315844568739e-06,0.0003950462150510307,0.00011999497187267515,0.0024695442074303565,0.00250381886280811
5.28,10,66,-5.485203050447348e-07,-6.495901063480454e-07,6.548509249821012e-06,6.603469938320533e-06,0.00033974809882210004,7.17897711839461e-05,0.00250118632461483,0.0025251763448005202
5.36,10,67,1.0829008639885958e-06,-2.610885123469744e-07,6.405736448619879e-06,6.501869034491852e-06,0.00032577244593708337,0.00015420697099943658,0.0026336728597426296,0.0026582212489899277
5.44,10,68,2.9151481707444684e-07,1.0786047093143898e-07,8.421618255147591e-06,8.427352419662931e-06,0.00032592651462569,0.0001387395748766069,0.0027194520632493387,0.0027424252563896935
5.52,11,69,6.792782081380835e-06,-4.5128706989660695e-07,8.999636318439265e-06,1.1284458440206843e-05,0.0002608182423882622,8.840797445201446e-06,0.0027010118301723056,0.0027135897298583506
5.6,11,70,7.94290664543846e-06,3.272574468386798e-06,1.0359474876027775e-05,1.3458017288454428e-05,0.000274057719532413,7.082543352491452e-05,0.0029268382533864587,0.0029404941824726664
5.68,11,71,5.835886571671371e-06,2.087319567860725e-06,6.1695354799518e-06,8.745149689637828e-06,0.00043294298829255306,0.00018252371156190803,0.00276966425178259,0.002809233810845305
5.76,11,72,4.978707077665611e-06,2.677702483803957e-06,2.6367759994696024e-06,6.23780429545096e-06,0.0002419507131896074,0.00012008629944478024,0.0030023023758420507,0.0030144287058933945
5.84,11,73,5.03953733826e-06,-9.881031185844381e-07,7.871706804543392e-06,9.398779302301322e-06,0.00031032812914389904,0.00014198066684889288,0.003181225940749443,0.0031994781673882365
5.92,11,74,6.7758803400619664e-06,1.0001563382455517e-06,4.199484315788387e-06,8.034210328484292e-06,0.0003689699531247585,0.00016354045270956262,0.0031728475820736843,0.003198413057291406
6.0,11,75,3.66832868517364e-06,-5.843474942123984e-07,6.745523554483534e-06,7.700661358646558e-06,0.00021779079836328687,0.00017390184372117668,0.0034267389209140524,0.003438053855774884
6.08,11,76,7.081246724735682e-06,-1.7176733317696133e-07,8.332096210340434e-06,1.0936059000009829e-05,0.0004089148692438173,8.383666222072533e-05,0.0033670924168133693,0.0033928677102980447
6.16,11,77,7.473158418193552e-06,-6.102696399850706e-08,4.618714002048429e-06,8.785461858460842e-06,0.0003584191517761338,0.0002118638477153302,0.003544326792729996,0.0035686976604907806
6.24,12,78,1.2067527058824585e-05,-3.746924087279122e-07,4.078418066199427e-06,1.274359045321701e-05,0.0003339131768403559,0.0002933827557259074,0.0032700884851722474,0.003300159110085614
6.32,12,79,1.3328882418669632e-05,-1.5175925452249066e-06,2.011083627453745e-06,1.3564905123909092e-05,0.00030565285148400235,0.00027753985115371575,0.003343056644896843,0.003368453616362806
6.4,12,80,9.188428895633206e-06,6.719128889813769e-07,-2.6257149414676583e-06,9.579826274747004e-06,0.0002631276549958256,0.00027780265073937645,0.0033509273702580504,0.00337270287993561
6.48,12,81,1.0969609686841157e-05,-1.0104648171556909e-06,2.057134242437138e-06,1.1206479247281738e-05,0.00019771502463830092,0.0003534051418034457,0.003596485447702075,0.003619211792746265
6.56,12,82,1.3021019739192775e-05,-4.239187452441552e-07,9.203804084304656e-06,1.5951071179493882e-05,0.0002077106889553048,0.00023035800270501853,0.003872320970641702,0.0038847237018078936
6.64,12,83,1.3201506840549844e-05,2.4137214005490095e-07,1.010624498666501e-05,1.662751427909688e-05,0.00021043621264086045,0.00024380114593043316,0.004015279812409502,0.004028175066986402
6.72,12,84,1.2599632983162256e-05,1.5804379853468602e-06,7.237632405944439e-06,1.461615060060256e-05,0.00012749497574546278,0.00037047468809217924,0.004038323358580743,0.004057285054296307
6.8,12,85,1.2849428911821296e-05,1.3190667024778984e-06,9.352744528914128e-06,1.5947463451868077e-05,0.00016985678582618377,0.00035869629204915736,0.004036904381282219,0.004056366766114301
6.88,12,86,1.5578774783185975e-05,2.474594022903552e-06,1.3192580066277016e-05,2.056370608933494e-05,0.00023642172174351275,0.00031287045160595004,0.00419147253524999,0.004209777329474239
6.96,13,87,1.8380785508839733e-05,1.9363642430562724e-06,1.411458391885144e-05,2.325562860053581e-05,0.00021756298447381668,0.0001456124684791669,0.0038275073618339404,0.003836450084138038
7.04,13,88,1.838198143777509e-05,-4.559213770726616e-07,1.0169731607527319e-05,2.10125806803905e-05,0.0001089268059202473,0.00024674101400237936,0.004000695472554656,0.0040097768567787205
7.12,13,89,1.3896110536166529e-05,-1.1293798438155076e-06,7.902119358053324e-06,1.6025631881891466e-05,0.00014464081563934523,0.00025685012970343943,0.003978499265613424,0.003989404637432012
7.2,13,90,1.6177739542441034e-05,2.240839224212464e-07,8.34351053175283e-06,1.8203945679462414e-05,0.00023654760903083234,0.0003148052704789389,0.004032332922296179,0.004051514028840721
7.28,13,91,1.6133591907620885e-05,8.065297688832973e-07,9.293376923398191e-06,1.8636258550205164e-05,0.0003120370843920114,0.0003030045425995285,0.004167806806445005,0.00419044060579805
7.36,13,92,1.773496164298381e-05,9.885645206763046e-07,1.121884368553209e-05,2.1008773832140947e-05,0.00023760494768197164,0.0002664491398529084,0.004325811637692197,0.004340518123459982
7.44,13,93,1.8721056863353577e-05,-8.295851398309351e-07,9.236295344142064e-06,2.0891992084752633e-05,0.0002172607985839098,0.00024443936121907244,0.0045886590139987095,0.004600298294965895
7.52,13,94,1.6707971024531037e-05,-6.275750366457693e-07,8.43745936503421e-06,1.8728076962672733e-05,0.00016743384369297432,0.00032378670837827743,0.004756111702116547,0.0047700597949654885
7.6,14,95,1.7567929311395953e-05,-1.1965200747153023e-06,7.749923083034338e-06,1.923863582410017e-05,0.0001621481657655692,0.00038955055378725196,0.00370260378974089,0.003726568996465877
7.68,14,96,1.7435832579596695e-05,4.104845325961438e-07,1.2112446628211613e-05,2.1234126273913438e-05,1.6824227497403904e-05,0.0003496566982493051,0.0038387849978342324,0.003854713104870278
7.76,14,97,1.82707497586479e-05,-1.5695628722112087e-06,9.926724991430503e-06,2.0852426559238787e-05,0.00027612184172650316,0.00032123539980756635,0.004091901841111,0.004113769090609675
7.84,14,98,1.818983627062319e-05,-2.2292381614528596e-07,1.093481615903487e-05,2.122475071730582e-05,0.00017540951251863128,0.00032026911262234275,0.004220693730323786,0.004236460358220815
7.92,14,99,1.8163900376077794e-05,9.314628761229244e-07,6.1569222471882965e-06,1.920162991830632e-05,7.166685625646105e-05,0.0003859412489777641,0.004230100366552723,0.004248274461126267
8.0,14,100,1.8671118133517042e-05,-9.01926659404164e-08,7.476265273714703e-06,2.0112516737486903e-05,2.532918014059505e-05,0.00043804425369375823,0.004427993868983697,0.004449680217646874
8.08,14,101,1.6985327478432407e-05,-1.3805885907093809e-06,3.871520965472754e-06,1.7475584367696632e-05,0.00035019537554767545,0.00042826418901309156,0.004583904757300619,0.0046171668629852725
8.16,14,102,1.8461670044108676e-05,-9.060045895301249e-08,5.572895109317134e-06,1.928467342632882e-05,0.00019769988121634145,0.0004301627179235347,0.004874946122914264,0.004897879633907016
8.24,14,103,1.6062127255686843e-05,2.2268752376349997e-07,1.3925534936128181e-05,2.1259398979473633e-05,0.00019945355819044795,0.00039082249950512604,0.004888600250830026,0.004908251863994925
8.32,15,104,1.6538993165301996e-05,-7.665287216424171e-07,1.4350863326524544e-05,2.191057140787515e-05,5.4004672828147844e-05,0.00041989731066207595,0.003753849696045284,0.003777647124426498
8.4,15,105,1.589718236284188e-05,-8.416636032315931e-07,9.34278792533146e-06,1.8458507277571906e-05,5.855904587757416e-06,0.0005056082922603662,0.0037781725644173794,0.0038118580722971813
8.48,15,106,1.5354456996957287e-05,-1.8301122029793576e-06,9.147570690172908e-06,1.7966265885782027e-05,0.00018609959617531428,0.00041848111782912954,0.0040661957755417505,0.004091907573578577
8.56,15,107,1.6004261059217705e-05,-1.9797064968796815e-06,1.0542344437274597e-05,1.9266464026891765e-05,7.501412164442999e-05,0.00038897465200386745,0.0044245351424769975,0.004442233630209195
8.64,15,108,1.1244657713283822e-05,-1.3586392008616685e-06,6.443479301524103e-06,1.303098818494595e-05,8.863032882787153e-05,0.00035497153145866233,0.004342418580910799,0.004357804407631624
8.72,15,109,1.2734336825449006e-05,-9.819013851560113e-07,1.2292918234917466e-05,1.7726909021161142e-05,-2.2357363432671977e-05,0.0004583431694835598,0.004293643289558995,0.00431809576210242
8.8,15,110,1.4304913547270335e-05,-1.5770207977782668e-06,1.5284030839412805e-05,2.0993311908596635e-05,6.559929207370057e-05,0.00045313835215894644,0.004512987642240745,0.004536154218314847
8.88,15,111,1.5035337971924492e-05,-1.0031594341937605e-06,1.4558484138866555e-05,2.095273674730906e-05,1.5993542810644886e-05,0.0004189423762210944,0.004736303590613288,0.004754822836916401
8.96,16,112,1.5403713424865016e-05,5.758708145249823e-07,1.3344964960406383e-05,2.038857778916574e-05,-8.013498829430763e-05,0.0004043391133094486,0.0037083824795322434,0.003731221294616886
9.04,16,113,1.5078703185181438e-05,-7.129726525090748e-07,1.3750515962794544e-05,2.0419410103945075e-05,-1.680110180262275e-05,0.0003962141568638443,0.003585923507087626,0.003607785378013045
9.12,16,114,1.6823755732192762e-05,-2.0387278567847454e-06,1.0854320491443803e-05,2.0124896062874358e-05,5.040803040161833e-05,0.0005453829588453994,0.003672759638517062,0.0037133740592145996
9.2,16,115,1.3195304620352577e-05,-2.0206320089553903e-06,8.936180013870078e-06,1.606406956470882e-05,-4.5061553266642706e-05,0.0005319880521467325,0.003814059968041286,0.003851245937488902
9.28,16,116,1.4060054299221023e-05,-2.3404347965274043e-06,1.068925497173426e-05,1.7816367019810336e-05,-2.1692947278974298e-05,0.000508633441432689,0.004108465359645986,0.004139887217439182
9.36,16,117,1.4160887756249162e-05,-1.9555712068461926e-06,1.3444562969035085e-05,1.9624252195140653e-05,-5.206283099201852e-05,0.0005179368327461667,0.004250192082277194,0.004281950704683297
9.44,17,118,1.578096431402526e-05,3.4116217977908585e-07,1.4638077181765956e-05,2.1527390224845823e-05,-0.000259411336148507,0.0007248659282701076,0.0047060481707389005,0.004768607159391953
9.52,17,119,1.3706913176790838e-05,3.8067435065705804e-06,1.253835894157463e-05,1.8962626661637992e-05,-8.384778654296364e-05,0.000735292086273195,0.005085981754951407,0.005139542325454936
