timestamp,frame_idx,stamp_idx,bg_x,bg_y,bg_z,bg_norm,ba_x,ba_y,ba_z,ba_norm
0.0,0,0,0.02230805977052906,0.029065813170126666,0.014583825640648595,0.039435504260539704,0.0,0.0,0.0,0.0
0.1,1,1,0.02230805977052906,0.029065813170126666,0.014583825640648595,0.039435504260539704,0.0,0.0,0.0,0.0
0.2,2,2,0.02230805977052906,0.029065813170126666,0.014583825640648595,0.039435504260539704,0.0,0.0,0.0,0.0
0.3,3,3,0.02230805977052906,0.029065813170126666,0.014583825640648595,0.039435504260539704,0.0,0.0,0.0,0.0
0.4,4,4,0.02230805977052906,0.029065813170126666,0.014583825640648595,0.039435504260539704,0.0,0.0,0.0,0.0
0.5,5,5,0.02230805977052906,0.029065813170126666,0.014583825640648595,0.039435504260539704,0.0,0.0,0.0,0.0
0.6,6,7,0.02230805977052906,0.029065813170126666,0.014583825640648595,0.039435504260539704,0.0,0.0,0.0,0.0
0.7,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,8,9,0.022242117891633523,0.029107745787285404,0.014641846411599267,0.0394506823700607,0.014109503634637829,0.0024515762322092067,-0.012100607934119947,0.01874868078595072
1.0,8,10,0.02222944592567325,0.029106185903232853,0.014662926621692047,0.03945021851788792,0.0015188043032127092,0.005549545594027154,0.003239542923441111,0.006602943371289884
1.1,8,11,0.022187141226039583,0.02910372403684161,0.014674880166946715,0.03942902606597205,0.0048724893761706795,0.009281409248359108,-0.001480378875990582,0.010586653483178774
1.2,8,12,0.022168680701557843,0.029094692850285958,0.014695372972089693,0.03941960860902767,0.001068505030866104,0.013583662901381216,-0.002419465883684345,0.013838764973134668
1.3,8,13,0.0222139304851524,0.029076539011230085,0.014663445814209001,0.03941979796519779,0.004306571203142359,0.014553585414735672,-0.004211892672054732,0.015750982313260664
1.4,8,14,0.02223252127469662,0.02906105941217021,0.01466123774749656,0.03941804242572356,0.008306586533321898,0.011091134256241723,-0.0047806012213429065,0.014658335067907565
1.5,8,15,0.022240934782259313,0.02906847102275926,0.014650895296838955,0.03942440767581226,0.011475274682139179,0.0106922704622227,-0.005614992266998506,0.01665937318227542
1.6,9,16,0.022252879362580733,0.02906934216991456,0.014632474389793036,0.03942494896490157,0.006785689157814084,0.014867755381000537,-0.005798155100732063,0.017341116745696952
1.7,9,17,0.022260495881092447,0.02908835048090019,0.014612253558603717,0.039435767580113704,0.0061250812679990874,0.016807784708451335,-0.005623371014523386,0.01875208118882343
1.8,9,18,0.022267005152050857,0.02909284012908082,0.014599731525006002,0.03943811640811423,0.007749444426576495,0.015311219730862396,-0.00550213367150035,0.01802112131656644
1.9,9,19,0.022280416251573374,0.02909226434759754,0.01458343355132553,0.03943923588711877,0.011263441261602319,0.013267328040747109,-0.006157057703032016,0.018460673388390414
2.0,10,20,0.022289253235335947,0.0290834592319244,0.014574059654651125,0.03943426968388374,0.008625322729985797,0.01208487569537476,-0.008264094375794489,0.016992223769157093
2.1,10,21,0.02231609366229236,0.029067690218394556,0.014562254087856072,0.0394334616169572,0.013609975990237238,0.010822112981244407,-0.008198807051991459,0.019224203830313435
2.2,10,22,0.022340069348244777,0.02904628591033699,0.014548739001057152,0.03942627588538269,0.021408466420077047,0.008061421890158101,-0.011647049641806973,0.025670269237181808
2.3,11,23,0.02235050651496163,0.029035646457873786,0.014537388445649816,0.039420167040763454,0.01745069683346468,0.003037581915429259,-0.009320812442301048,0.020015775489622956
2.4,11,24,0.022357669134352214,0.029031292899728684,0.014531421314562292,0.03941882217890735,0.015236068619424118,0.0061998558729830545,-0.010927419708191072,0.019748025250655457
2.5,12,25,0.022325785369781182,0.029025927949402976,0.014509571620310961,0.039388740196995405,0.016956126187506068,-0.003182592558300574,-0.008416125604488794,0.019195579722147263
2.6,12,26,0.022306623042334158,0.029042565093502164,0.014512361269960443,0.0393911747526391,0.016679589778105273,-0.0015233627654822177,-0.00843538275480674,0.018753267222039537
2.7,13,27,0.022270538084249458,0.02907093944940121,0.014502734221974246,0.03938814145077145,0.014540878180928293,-0.005018869248605101,-0.006499963918811254,0.01669957238234077
2.8,13,28,0.022266021315612228,0.029080797063211487,0.014496648365196646,0.039390624225609155,0.01278115911366892,-0.0040918459081002384,-0.004000209630433593,0.014003674814561084
2.9,14,29,0.022279275553710207,0.029096355411614178,0.014487109907990505,0.03940609560617894,0.007630432233283707,-0.00579455208413634,-0.0012858199413186284,0.009667143468677622
3.0,14,30,0.02227848440836698,0.02911247003191036,0.014467567859780978,0.039410370445735435,0.0045015113046643785,-0.004068994501849106,-0.0007858190588474124,0.006118646245318263
3.1,15,31,0.0222854175762197,0.029142062825137916,0.01445184448775433,0.03943038766419882,0.004241801134559718,-0.009518792059536573,0.00012060814625661285,0.01042184366908236
3.2,15,32,0.022286705474302584,0.029166477678058602,0.014422610601801469,0.039438462921546465,0.005637828997771863,-0.007665387444110203,0.0004314541656422581,0.009525199902022514
3.3,16,33,0.022301966191295056,0.029170798598894484,0.01439660386527105,0.03944078333081722,0.010661427063210247,-0.010949848111232133,0.0003672440138762561,0.015287251840959961
3.4,17,34,0.022346371060175205,0.029167952181010162,0.014356692503395684,0.03944926303024924,0.014652937545126801,-0.004086163144767261,-0.001340550043619389,0.015270965338395896
3.5,18,35,0.02238812963721997,0.029157540722017743,0.01431643121174783,0.03945061130387966,0.010783443121547234,0.0006317417708001348,-0.0001918984742465495,0.010803636806420151
3.6,19,36,0.022413161458242487,0.02915484720923906,0.014295253401671237,0.03945515419010948,0.009543428129880918,4.846985741192547e-06,-0.0013153814801687886,0.009633653118202056
3.7,20,37,0.02241636418377003,0.029162630394552115,0.014283644768197042,0.03945852129277915,0.003936616845728827,0.0035719109414683414,0.0013926117797718293,0.005494985671775359
3.8,20,38,0.02239890842540015,0.0291788221798546,0.0142894828601678,0.03946269229112563,0.01123213791965468,-0.0025742055689912387,0.001954309312873005,0.011687890376280582
3.9,21,39,0.022385512706117022,0.029193572705515588,0.01429386751330808,0.0394675881568149,0.008737604909116464,-0.0017791861119391026,0.0022757847689830876,0.009202740846262516
4.0,21,40,0.022385324229306693,0.029197068398915314,0.014284189798505015,0.03946656334344098,0.013227995925402693,-0.00554470177792863,0.0014941113141983503,0.014420678299852982
4.1,21,41,0.022393803482271216,0.02919705624233737,0.014289477705330584,0.03947327831219411,0.01844689976305487,-0.00732885979084944,2.597484339284146e-05,0.019849457710340922
4.2,22,42,0.02237948575156793,0.029208413736980406,0.014304066250780087,0.039478844041359214,0.020885032662129686,-0.007683967209966369,-0.0019547058047115883,0.022339400532803814
4.3,23,43,0.022331668395006915,0.029238612396700177,0.01433731332049802,0.039486180132283624,0.01405145867564236,-0.007771880056984058,-0.002775791774710866,0.016295724301484238
4.4,24,44,0.022288679543903928,0.02922033802966997,0.0143659366579576,0.039458757284530244,0.02698212751939412,0.0034575060823907634,-0.0002674294783409012,0.027204063525666535
